feature,shap_share_mean,shap_share_std
BUSLOANS_lag12,0.05357138226439588,0.03435179922867713
CPIAUCSL_lag12,0.005955842565756338,0.0062030026973517345
DPCERA3M086SBEA_lag12,0.1156359256036647,0.10172912564560724
INDPRO_lag12,0.10624387895967943,0.06055545387563467
M2SL_lag12,0.007491948041627972,0.00891793158946227
OILPRICEX_lag12,0.011968254685831185,0.0082276235693665
RPI_lag12,0.06367779710739492,0.04260212460817825
SP500_lag12,0.28165962250862714,0.10098836661408579
TB3MS_lag12,0.03371287410482664,0.02534111429953655
UNRATE_lag12,0.030905624706532613,0.03307404176591425
USREC_lag12,0.28917684945166316,0.1806188745686236
