feature,ratio_mean,ratio_std,n_windows
TB3MS_lag12,1.0321109000055173,0.004284855998206127,3
OILPRICEX_lag12,1.0038125471533859,0.003438633001849309,3
BUSLOANS_lag12,1.0000101886517123,0.00012452007721407062,3
M2SL_lag12,0.9996922520612835,0.0004020394959180769,3
CPIAUCSL_lag12,0.9995334489434091,0.000657171095079031,3
INDPRO_lag12,0.995369453889932,0.007073855380099741,3
DPCERA3M086SBEA_lag12,0.9820657189510742,0.025479160045826,3
RPI_lag12,0.9796007223866582,0.028295901227313913,3
USREC_lag12,0.951355256605931,0.10499669806431594,3
SP500_lag12,0.942351256551096,0.04144319211470802,3
