feature,shap_share_mean,shap_share_std,n_windows
TB3MS_lag24,0.2920980836401397,0.20000864303519322,4
UNRATE_lag24,0.12834041348060038,0.022400174712558216,4
BUSLOANS_lag24,0.09079958463136034,0.06799212261067196,4
INDPRO_lag24,0.07717997734352874,0.05290532322700992,4
OILPRICEX_lag24,0.07533418295100539,0.04537874017368429,4
USREC_lag24,0.07343434343434344,0.07567449990400231,4
DPCERA3M086SBEA_lag24,0.06853047610056956,0.0495370748190338,4
CPIAUCSL_lag24,0.05836928474778942,0.03703549238469662,4
RPI_lag24,0.05315522829541521,0.03981847698938461,4
SP500_lag24,0.04538956543629441,0.03099232227156041,4
M2SL_lag24,0.0373688599389534,0.03576000072371314,4
