feature,shap_share_mean,shap_share_std
BUSLOANS_lag24,0.08590378509466995,0.015782003884131673
CPIAUCSL_lag24,0.148958200555796,0.019896415893031726
DPCERA3M086SBEA_lag24,0.35523517196133525,0.030916206915781924
INDPRO_lag24,0.08839163793238378,0.0200499630143748
M2SL_lag24,0.0199722960609459,0.024592511947781302
OILPRICEX_lag24,0.00159455331496665,0.00048888368429325
RPI_lag24,0.27426424068042426,0.027678144347724927
SP500_lag24,0.0106739339968089,0.0043654075279579
TB3MS_lag24,0.004890513349393925,0.000677058457978025
USREC_lag24,0.010115667053275025,0.0013384691216130249
