feature,ratio_mean,ratio_std
BUSLOANS_lag24,1.0011461004130822,0.00601143290009815
CPIAUCSL_lag24,1.0016510158996754,0.0044473228778935
DPCERA3M086SBEA_lag24,0.9898255360653236,0.0076947855226504255
INDPRO_lag24,0.997132871479176,0.003415985880415425
M2SL_lag24,0.9999111789533034,0.000597953761909225
OILPRICEX_lag24,1.0002760113695857,0.001248490597734325
RPI_lag24,1.0247414306363625,0.010488826579621401
SP500_lag24,1.0040004019582167,0.0016573839175691501
TB3MS_lag24,1.0519560020084229,0.021243279686174676
USREC_lag24,1.0506851858907535,0.030647921938228125
