feature,shap_share_mean,shap_share_std,n_windows
DPCERA3M086SBEA_lag12,0.31472955717866097,0.05643556730268121,4
RPI_lag12,0.28638949021710264,0.06018194555586591,4
CPIAUCSL_lag12,0.12170818090670545,0.020353261010500657,4
INDPRO_lag12,0.08935403288838573,0.01965210884640895,4
SP500_lag12,0.07086770448059551,0.004264564794579188,4
BUSLOANS_lag12,0.05167663704762237,0.007179937590052527,4
M2SL_lag12,0.03488481115369699,0.02993804482134475,4
USREC_lag12,0.020741369846086207,0.001765762948689222,4
TB3MS_lag12,0.003730889298273844,0.0001700805688102098,4
OILPRICEX_lag12,0.003118489216673996,0.001033301733053761,4
UNRATE_lag12,0.0027988377661963197,0.0004507348857012051,4
