feature,ratio_mean,ratio_std,n_windows
TB3MS_lag24,1.0477900345995816,0.0527853122963165,3
UNRATE_lag24,1.0386319833123503,0.04528953197105958,3
USREC_lag24,1.007560276825499,0.010523728153877464,3
SP500_lag24,1.0053045095019806,0.007231044450493729,3
DPCERA3M086SBEA_lag24,1.0015560205498548,0.0022112610521824432,3
OILPRICEX_lag24,1.00154259121894,0.002207464077552009,3
INDPRO_lag24,1.0014131532821384,0.001999434818603845,3
RPI_lag24,0.9993914842309216,0.0008623092973887912,3
M2SL_lag24,0.9993205920797631,0.0009603703782256681,3
BUSLOANS_lag24,0.9961981910050075,0.005376818905105,3
CPIAUCSL_lag24,0.9951022850693523,0.006926238578323851,3
