feature,ratio_mean,ratio_std,n_windows
TB3MS_lag12,1.0380630024779491,0.009158616900767691,2
USREC_lag12,1.0292677255256246,0.018210495571393537,2
INDPRO_lag12,1.0000850528820258,4.159759864075241e-05,2
CPIAUCSL_lag12,0.9999993126608272,9.34943016228651e-07,2
M2SL_lag12,0.9999972056541453,1.4511627682289863e-06,2
BUSLOANS_lag12,0.999988141566022,2.0358204073311903e-05,2
DPCERA3M086SBEA_lag12,0.9999812508460502,4.2718049845735795e-05,2
RPI_lag12,0.9999178270283572,2.3710818036537518e-05,2
OILPRICEX_lag12,0.999895925398471,0.00030612362549120586,2
SP500_lag12,0.9944768883785948,0.0007198554889687458,2
