feature,shap_share_mean,shap_share_std
BUSLOANS_lag12,0.04302685598566589,0.02453448170780276
CPIAUCSL_lag12,0.01758360865829645,0.036900269803826075
DPCERA3M086SBEA_lag12,0.13298941686887286,0.12416874573576475
INDPRO_lag12,0.07812948252891534,0.031635390078657274
M2SL_lag12,0.013147404234409478,0.01567787280641641
OILPRICEX_lag12,0.010597527585655473,0.006728676188754789
RPI_lag12,0.08016575097477038,0.08790433009525231
SP500_lag12,0.3311822218625367,0.14469604081406426
TB3MS_lag12,0.031637152928157,0.020549361863614876
USREC_lag12,0.2615405783727204,0.17759023951877986
