feature,ratio_mean,ratio_std
BUSLOANS_lag12,1.0009897937243393,0.0003675475116052018
CPIAUCSL_lag12,0.9998803342470729,0.0001660807623301636
DPCERA3M086SBEA_lag12,0.9952891419796045,0.006587878403740332
INDPRO_lag12,0.9983379300250368,0.002149971654016895
M2SL_lag12,1.000183479164384,0.0001179241431408447
OILPRICEX_lag12,1.0018151673318114,0.0014179872532035652
RPI_lag12,0.994727744183399,0.007251183164059169
SP500_lag12,0.98842385575675,0.01861896811429056
TB3MS_lag12,1.0129235826092269,0.006400408430591164
USREC_lag12,1.0290146373419233,0.034604435108154974
