unique_id,model_label,model_name,partition,mae,coverage,width,n
UNRATE,LR,LR,1990-1999,0.4212196709635344,0.8,1.419841523801272,120
UNRATE,LR,LR,2000-2008,0.37778943751236665,0.6481481481481481,0.9813960410133352,108
UNRATE,LR,LR,2009-2019,0.5974827759353909,0.7803030303030303,1.9020290302417386,132
UNRATE,LR,LR,2020-end,1.7766425451639491,0.7647058823529411,6.250181207521166,68
UNRATE,LR,LR,ALL,0.6799697179008874,0.75,2.225354928478836,428
UNRATE,AR,AR,1990-1999,0.4941890535569567,0.8166666666666667,1.7639918423980319,120
UNRATE,AR,AR,2000-2008,0.5146506308323588,0.6851851851851852,1.569703419368993,108
UNRATE,AR,AR,2009-2019,0.7630622560279754,0.8257575757575758,3.086352984824844,132
UNRATE,AR,AR,2020-end,2.3124008156871776,0.6617647058823529,9.135620364851407,68
UNRATE,AR,AR,ALL,0.8711505322877345,0.7616822429906542,3.293990114921472,428
