feature,ratio_mean,ratio_std,n_windows
USREC_lag1,1.1193444771879175,0.10460937463224262,2
TB3MS_lag1,1.0083292238225001,0.0026951381902031724,2
BUSLOANS_lag1,1.000508891187866,0.0005081015764143437,2
OILPRICEX_lag1,1.00014681354474,0.00013882492419137193,2
M2SL_lag1,1.0000145233248166,1.3711359037826831e-05,2
DPCERA3M086SBEA_lag1,1.0000091704551386,8.964640039632599e-06,2
CPIAUCSL_lag1,1.000001199546027,1.0796188983919208e-06,2
RPI_lag1,0.9997613130175576,0.00023777431178101383,2
INDPRO_lag1,0.9994509290533098,0.0005552567946758846,2
SP500_lag1,0.9856858397677122,0.014216432986352778,2
