partition,model_label,n,MAE,RMSE,Coverage,Width
1990-1999,AR,120,0.4794436153851029,0.6127850728407807,0.775,1.6231116088402722
2000-2008,AR,108,0.5319674609153081,0.7153028817729444,0.6759259259259259,1.41228841470306
2008-2019,AR,132,0.6667050661267306,1.1185830559755205,0.8181818181818182,2.9883369714772656
2020-fin,AR,68,2.457754797101016,4.319181741947235,0.7205882352941176,8.488544987444135
