feature,ratio_mean,ratio_std,n_windows
USREC_lag36,1.0461541177525178,0.06500491830629819,3
RPI_lag36,1.015161296392579,0.021441097994214977,3
INDPRO_lag36,1.0087521767798557,0.012377232853213292,3
CPIAUCSL_lag36,1.0039844600216585,0.005634870632670929,3
M2SL_lag36,1.0023770454311658,0.0033616497971738837,3
TB3MS_lag36,1.002120240505923,0.002294049118814539,3
DPCERA3M086SBEA_lag36,1.0007682730199414,0.0010863953855660192,3
OILPRICEX_lag36,0.9996613117476345,0.00048611179058242825,3
SP500_lag36,0.999468218278403,0.0007547419724226283,3
BUSLOANS_lag36,0.9984062400231535,0.0022539366901062445,3
