method,validation.rmse,validation.mae,validation.r2,validation.n,test.rmse,test.mae,test.r2,test.n,windows.val_start,windows.val_end,windows.test_start,windows.test_end,windows.y_pred_col
AR(1)__1543452a,1.0648155181255567,0.6798390774248121,-0.8638509375716115,84,1.620772005282749,0.8798065055563506,-0.10034463020995532,416,1983-01-01,1989-12-01,1990-01-01,,y_pred
AR(p auto)__9a2891c6,1.012417501678431,0.6859189190871182,-0.6849294511655684,84,1.6651843037958292,0.8770227755281034,-0.16147399877374102,416,1983-01-01,1989-12-01,1990-01-01,,y_pred
linear__91e98761,0.75731616094,0.5383904331664416,0.057205842861952294,84,1.4125021985333521,0.7643611898442424,0.16427548894571042,416,1983-01-01,1989-12-01,1990-01-01,,y_pred
