feature,ratio_mean,ratio_std
BUSLOANS_lag12,0.9998941559620805,0.011665918116300595
CPIAUCSL_lag12,0.9996808989759857,0.0011991940095956938
DPCERA3M086SBEA_lag12,0.9786485334197099,0.015488234065536743
INDPRO_lag12,0.9959163514312759,0.012029315030211105
M2SL_lag12,0.9958709841862756,0.004482024828785533
OILPRICEX_lag12,0.9968769965814449,0.0010679183021376605
RPI_lag12,0.9913193705330231,0.0030785263673638224
SP500_lag12,0.9618510008034699,0.02722356682441833
TB3MS_lag12,0.9922257522278787,0.00877436023920126
UNRATE_lag12,0.98473147545419,0.019347820572676627
USREC_lag12,0.9858547533653587,0.019067764357031336
