model,Ensemble,1990-1999,2000-2008,2008-2019,2020-fin
AR1,3.212,1.64,1.511,2.77,8.661
ARp,3.279,1.764,1.57,2.904,9.136
LR,2.841,1.725,1.588,2.617,6.95
RIDGE,2.621,1.583,1.381,2.267,6.827
