model,Ensemble,1990-1999,2000-2008,2008-2019,2020-fin
AR1,0.8788 (0.023),0.5078 (0.813),0.5356 (0.145),0.8686 (0.018),2.0848 (0.455)
ARp,0.8779 (0.061),0.4951 (0.980),0.5287 (0.168),0.8442 (0.061),2.1595 (0.396)
LR,0.8120 (0.136),0.5097 (0.339),0.4673 (0.064),0.7976 (0.023),1.8895
RIDGE,0.7705,0.4935,0.4258,0.6959,1.9320 (0.740)
