model,Ensemble,1990-1999,2000-2008,2008-2019,2020-fin
AR1,0.735,0.742,0.685,0.736,0.691
ARp,0.757,0.817,0.694,0.771,0.706
LR,0.778,0.817,0.685,0.792,0.779
RIDGE,0.769,0.792,0.648,0.785,0.779
