feature,ratio_mean,ratio_std,n_windows
TB3MS_lag12,1.0317546085985574,0.013705020559734438,2
INDPRO_lag12,1.0120583807441816,0.0018386952559324987,2
BUSLOANS_lag12,1.0051478707584363,0.0011682586702659314,2
OILPRICEX_lag12,1.0050013866470238,0.0010306708310184876,2
CPIAUCSL_lag12,1.0036673080630027,0.000384527993443351,2
M2SL_lag12,1.000915401650135,0.00012586750875265285,2
DPCERA3M086SBEA_lag12,0.9874049277547507,0.015657231630645085,2
RPI_lag12,0.9786231466664101,0.007142172235867383,2
SP500_lag12,0.9661484986167459,0.010740116454686921,2
USREC_lag12,0.9421735497943061,0.01840253967468286,2
