model_label,block,ds,tune_mae,hp__alpha,hp__subsample,hp__reg_lambda,hp__reg_alpha,hp__num_leaves,hp__n_estimators,hp__min_split_gain,hp__min_child_samples,hp__max_depth,hp__colsample_bytree
RIDGE,1,1989-01-01,0.48614157709296585,0.7278953843983146,,,,,,,,,
RIDGE,2,1992-01-01,1.0832297247217566,0.0001,,,,,,,,,
RIDGE,3,1995-01-01,0.5959852414979777,1.3738237958832638,,,,,,,,,
RIDGE,4,1998-01-01,0.18700513915983727,2.592943797404667,,,,,,,,,
RIDGE,5,2001-01-01,0.08835253623912082,9.236708571873866,,,,,,,,,
RIDGE,6,2004-01-01,0.2913046729074165,10000.0,,,,,,,,,
RIDGE,7,2007-01-01,0.3456131401067312,2.592943797404667,,,,,,,,,
RIDGE,8,2010-01-01,2.049929269286046,0.0001,,,,,,,,,
RIDGE,9,2013-01-01,0.6999875302255489,4.893900918477489,,,,,,,,,
RIDGE,10,2016-01-01,0.691647421946266,0.38566204211634725,,,,,,,,,
RIDGE,11,2019-01-01,0.24105503720753094,0.7278953843983146,,,,,,,,,
RIDGE,12,2022-01-01,3.9362061697087865,1.3738237958832638,,,,,,,,,
