feature,ratio_mean,ratio_std,n_windows
M2SL_lag6,1.0,0.0,2
OILPRICEX_lag6,1.0,0.0,2
DPCERA3M086SBEA_lag6,0.9998800078546612,0.001338620493556153,2
BUSLOANS_lag6,0.9998370397813198,0.0003521936408991122,2
SP500_lag6,0.9994723802890884,0.0005276197109116421,2
CPIAUCSL_lag6,0.999137540478448,0.0008624595215519504,2
RPI_lag6,0.9972764909189484,0.0027235090810516227,2
TB3MS_lag6,0.9927184159939539,0.0020388667280027417,2
INDPRO_lag6,0.978776909361908,0.022282630444575013,2
USREC_lag6,0.9776418900129829,0.028924945104315702,2
