feature,ratio_mean,ratio_std,n_windows
BUSLOANS_lag12,1.0019642899317014,0.002405754019777413,2
USREC_lag12,1.0,0.0,2
CPIAUCSL_lag12,0.9999238407553668,9.327564427365124e-05,2
TB3MS_lag12,0.9997734062621999,0.000277519518260118,2
DPCERA3M086SBEA_lag12,0.9996680101036782,0.0004066029228739967,2
M2SL_lag12,0.9995563457299849,0.0006776930915781965,2
RPI_lag12,0.9980592144527091,0.002376967145515627,2
INDPRO_lag12,0.9954548148093878,0.0029755221690818644,2
OILPRICEX_lag12,0.9879130045223379,0.014803485721800068,2
SP500_lag12,0.9464172277164306,0.053582772283569446,2
UNRATE_lag12,0.709278301511955,0.23737327281698997,2
