feature,ratio_mean,ratio_std,n_windows
UNRATE_lag24,1.045323889146127,0.040656282121348974,2
TB3MS_lag24,1.0383709334151228,0.03837093341512254,2
RPI_lag24,1.0165112312354534,0.016511231235453283,2
DPCERA3M086SBEA_lag24,1.0040559436622745,0.004055943662274242,2
BUSLOANS_lag24,1.00301111844612,0.003011118446119565,2
CPIAUCSL_lag24,1.0000535006816618,5.350068166165567e-05,2
INDPRO_lag24,1.0,1.5700924586837752e-16,2
SP500_lag24,1.0,1.5700924586837752e-16,2
M2SL_lag24,1.0,1.5700924586837752e-16,2
USREC_lag24,1.0,1.5700924586837752e-16,2
OILPRICEX_lag24,0.9968353544934174,0.0031646455065827417,2
