feature,ratio_mean,ratio_std
BUSLOANS_lag24,0.9986039476817966,0.009434974959904125
CPIAUCSL_lag24,1.0043752854667312,0.008692330025024545
DPCERA3M086SBEA_lag24,0.9847900611729282,0.009153120088809454
INDPRO_lag24,1.0048168930338581,0.00986803768846235
M2SL_lag24,0.9852256466619118,0.0038628069799609807
OILPRICEX_lag24,1.0026175210461825,0.0046430740339801005
RPI_lag24,1.0123381672143181,0.01394811704152352
SP500_lag24,1.0005326494165547,0.005360625504350165
TB3MS_lag24,1.056872946744617,0.04778372835574678
USREC_lag24,1.0100565154280885,0.011913968507683925
