feature,ratio_mean,ratio_std,n_windows
TB3MS_lag24,1.049361058288098,0.0572269384981243,3
USREC_lag24,1.0088652965002476,0.0123492521011471,3
SP500_lag24,1.00331124048624,0.0045411801493886,3
OILPRICEX_lag24,1.0013569893114818,0.0019384949718333,3
INDPRO_lag24,1.0003409671404837,0.0004822946421333,3
DPCERA3M086SBEA_lag24,1.0002901287182746,0.00041818343961,3
RPI_lag24,0.9994247188897454,0.0008178346954733,3
M2SL_lag24,0.9989368125924064,0.001502886184933,3
BUSLOANS_lag24,0.9945540804596104,0.0077036650487701,3
CPIAUCSL_lag24,0.9936390459213378,0.008995578983838,3
