feature,ratio_mean,ratio_std,n_windows
TB3MS_lag12,1.06545039994313,0.019535800191130215,2
UNRATE_lag12,1.046845679588486,0.01727335881520986,2
BUSLOANS_lag12,1.010745116442918,0.001156158408769703,2
CPIAUCSL_lag12,1.0036958660398558,0.004318237839545547,2
OILPRICEX_lag12,1.0012405700575344,0.0014791973451152018,2
M2SL_lag12,0.9999103988375955,7.808885301346935e-05,2
INDPRO_lag12,0.9726235681920574,0.011242863044626072,2
RPI_lag12,0.9719857698006418,0.0045525025678150866,2
DPCERA3M086SBEA_lag12,0.9576886972174045,0.0014522515033922323,2
USREC_lag12,0.9304597023849862,0.03950612775534279,2
SP500_lag12,0.9105348646923792,0.03966166058676235,2
