model_label,block,ds,tune_mae,hp__alpha,hp__subsample,hp__reg_lambda,hp__reg_alpha,hp__num_leaves,hp__n_estimators,hp__min_split_gain,hp__min_child_samples,hp__max_depth,hp__colsample_bytree
RIDGE,1,1989-01-01,0.5599080449200617,0.3856620421163472,,,,,,,,,
RIDGE,2,1992-01-01,1.1109699990429276,17.433288221999874,,,,,,,,,
RIDGE,3,1995-01-01,0.6340455476823059,1.3738237958832638,,,,,,,,,
RIDGE,4,1998-01-01,0.1975094391686444,0.1082636733874054,,,,,,,,,
RIDGE,5,2001-01-01,0.0842837448141204,4.893900918477489,,,,,,,,,
RIDGE,6,2004-01-01,0.2623847925725996,417.53189365604,,,,,,,,,
RIDGE,7,2007-01-01,0.3652673328620401,2.592943797404667,,,,,,,,,
RIDGE,8,2010-01-01,2.063761642964119,0.0001,,,,,,,,,
RIDGE,9,2013-01-01,0.7370597322316725,2.592943797404667,,,,,,,,,
RIDGE,10,2016-01-01,0.7374934855477412,0.3856620421163472,,,,,,,,,
RIDGE,11,2019-01-01,0.2472170765757826,0.7278953843983146,,,,,,,,,
RIDGE,12,2022-01-01,3.7784286515097087,2.592943797404667,,,,,,,,,
