feature,ratio_mean,ratio_std,n_windows
BUSLOANS_lag6,1.000430643622456,0.00043064362245592847,2
OILPRICEX_lag6,1.0002862365186544,0.000286236518654559,2
CPIAUCSL_lag6,1.0,0.0,2
SP500_lag6,0.9991344967485786,0.0008655032514214289,2
M2SL_lag6,0.9975914092914974,0.0024085907085026337,2
DPCERA3M086SBEA_lag6,0.9939938502182282,0.000871325537682599,2
TB3MS_lag6,0.992848361167977,0.003743851860061209,2
INDPRO_lag6,0.9864562382728534,0.013543761727146608,2
RPI_lag6,0.9736580534882262,0.005204834541322978,2
USREC_lag6,0.951171937195022,0.0190467229096285,2
UNRATE_lag6,0.9313646726442488,0.03689101503310227,2
