feature,ratio_mean,ratio_std
BUSLOANS_lag24,1.0011461004130822,0.006011432900098217
CPIAUCSL_lag24,1.0016510158996754,0.004447322877893536
DPCERA3M086SBEA_lag24,0.9898255360653238,0.007694785522650463
INDPRO_lag24,0.997132871479176,0.003415985880415472
M2SL_lag24,0.9999111789533034,0.0005979537619092475
OILPRICEX_lag24,1.0002760113695857,0.0012484905977343788
RPI_lag24,1.0247414306363625,0.01048882657962143
SP500_lag24,1.0040004019582167,0.0016573839175691866
TB3MS_lag24,1.0519560020084229,0.021243279686174718
USREC_lag24,1.0506851858907535,0.03064792193822815
