feature,ratio_mean,ratio_std,n_windows
TB3MS_lag12,1.0309582706350051,0.009912632029911383,3
OILPRICEX_lag12,1.0007931172607167,0.001868001490412089,3
BUSLOANS_lag12,1.000747378421688,0.0011045334942319698,3
INDPRO_lag12,1.000479446579756,0.0008165951160919732,3
CPIAUCSL_lag12,1.0000453067189532,6.538293125013876e-05,3
M2SL_lag12,1.0000191488770365,3.212159645968022e-05,3
RPI_lag12,0.9989799456129272,0.0011998243463485928,3
DPCERA3M086SBEA_lag12,0.9978389161573255,0.002804380374293051,3
SP500_lag12,0.9756148606971039,0.008087024620938587,3
USREC_lag12,0.938134232608154,0.09685731226567854,3
