feature,shap_share_mean,shap_share_std,n_windows
INDPRO_lag6,0.2362118189939805,0.10391887911662896,7
USREC_lag6,0.1612086809156363,0.09972908874147518,7
TB3MS_lag6,0.1314173671202201,0.021993337048105206,7
BUSLOANS_lag6,0.11039342112424073,0.0469642972983014,7
SP500_lag6,0.0853623984889538,0.0646679565543921,7
RPI_lag6,0.08149023957535677,0.05886154527076765,7
DPCERA3M086SBEA_lag6,0.07494680136206991,0.044982555196914825,7
CPIAUCSL_lag6,0.06871858310551773,0.053123353135045535,7
M2SL_lag6,0.028878790894114787,0.036692873292850474,7
OILPRICEX_lag6,0.02137189841990936,0.019405370119215788,7
