model,Ensemble,1990-1999,2000-2008,2008-2019,2020-fin
AR1,14.05,5.079,10.221,13.805,44.554
ARp,13.424,4.922,10.04,12.97,44.705
LR,13.822,5.218,7.947,11.114,43.798
RIDGE,13.886,5.54,8.359,12.393,40.306
