feature,ratio_mean,ratio_std
BUSLOANS_lag12,1.0040572069535474,0.001115652665695178
CPIAUCSL_lag12,1.0005167647892617,0.0011435051622351918
DPCERA3M086SBEA_lag12,0.9854458065434223,0.009373293682659154
INDPRO_lag12,0.9986376735243963,0.00514842308985047
M2SL_lag12,1.0008954483782242,0.0003069323267680758
OILPRICEX_lag12,1.0011670561847286,0.0011894717970748626
RPI_lag12,0.9796198031783935,0.00699353219447809
SP500_lag12,0.9741562879994387,0.01943923395092287
TB3MS_lag12,1.0265911910719998,0.005176632382723448
USREC_lag12,0.986386440243811,0.028041528264471146
