feature,ratio_mean,ratio_std,n_windows
USREC_lag12,1.0743575900856095,0.026538963048428548,3
SP500_lag12,1.048864358630573,0.0184099511389004,3
BUSLOANS_lag12,1.0041693468601427,0.0013311151606434115,3
OILPRICEX_lag12,1.0036843141987242,0.0013614794763435036,3
M2SL_lag12,1.0007715183572945,0.0006056034968870865,3
RPI_lag12,0.9999368594893419,0.00015284659561542598,3
TB3MS_lag12,0.9996874461723152,0.0013816816180096277,3
DPCERA3M086SBEA_lag12,0.9996537924983709,0.0033536511555607392,3
CPIAUCSL_lag12,0.9996222269004479,0.0004855575498623173,3
INDPRO_lag12,0.9939648294791937,0.0023277958027165067,3
