feature,shap_share_mean,shap_share_std,n_windows
SP500_lag12,0.24203942978600237,0.04347738498623178,4
INDPRO_lag12,0.17050721857730014,0.019111091035806854,4
TB3MS_lag12,0.1642597255427706,0.02259781962853368,4
DPCERA3M086SBEA_lag12,0.11771235599979743,0.010294624600813814,4
BUSLOANS_lag12,0.11173894991069747,0.01639140413328987,4
OILPRICEX_lag12,0.059213655648838154,0.0242955783446986,4
USREC_lag12,0.05061456278628142,0.010501741627896095,4
RPI_lag12,0.04397981576280298,0.01899448530217002,4
CPIAUCSL_lag12,0.0253285541804371,0.022795854922288222,4
M2SL_lag12,0.01460573180507235,0.01229534818520861,4
