feature,shap_share_mean,shap_share_std
BUSLOANS_lag12,0.11031767079630167,0.029876636742318705
CPIAUCSL_lag12,0.010079835753832938,0.011283806304443592
DPCERA3M086SBEA_lag12,0.12313168327975389,0.034276433688115164
INDPRO_lag12,0.1142729747729267,0.03981830381381757
M2SL_lag12,0.043292630472529785,0.06627820674724691
OILPRICEX_lag12,0.0401222728422536,0.03231720477710463
RPI_lag12,0.028924221968076255,0.02330566831959765
SP500_lag12,0.1420109956099505,0.039329610451869244
TB3MS_lag12,0.12565840185120797,0.02433002890090046
UNRATE_lag12,0.22342587015007367,0.04982344019960505
USREC_lag12,0.03876344250309305,0.02411795784662746
