feature,shap_share_mean
SP500_lag12,0.29903570577529226
BUSLOANS_lag12,0.19371876428114096
USREC_lag12,0.16666525314191336
RPI_lag12,0.15083280389125542
M2SL_lag12,0.086247362522766
DPCERA3M086SBEA_lag12,0.0601750698580134
TB3MS_lag12,0.01605043327669124
INDPRO_lag12,0.013305833455090371
CPIAUCSL_lag12,0.01312867285184088
OILPRICEX_lag12,0.0008401009458790928
