feature,ratio_mean,ratio_std,n_windows
USREC_lag12,1.0932266176446037,0.00951859997553071,3
SP500_lag12,1.0173558583482694,0.007699098254295526,3
BUSLOANS_lag12,1.0096777107251342,0.0036281880650207666,3
OILPRICEX_lag12,1.0026723294131574,0.0015653811434762992,3
M2SL_lag12,1.0019830811707944,0.000724809135406749,3
RPI_lag12,1.0006097206479112,0.0008879271972067402,3
TB3MS_lag12,1.0004392940852862,0.002189270774377762,3
CPIAUCSL_lag12,0.9994807413172612,0.0006799765892940197,3
UNRATE_lag12,0.9984331908138907,0.0034603738743034552,3
DPCERA3M086SBEA_lag12,0.9895958236663894,0.002534804346809401,3
INDPRO_lag12,0.9882157586090538,0.005976094827359986,3
