feature,shap_share_mean,shap_share_std,n_windows
INDPRO_lag6,0.3210456753925431,0.03131011997948315,11
M2SL_lag6,0.1449655696927043,0.07283060825000338,11
CPIAUCSL_lag6,0.14043111410551987,0.019590247011899892,11
BUSLOANS_lag6,0.1282325455249651,0.01171609269480827,11
DPCERA3M086SBEA_lag6,0.12808471511401673,0.020055186615942452,11
RPI_lag6,0.08978861302059847,0.037190079518123996,11
USREC_lag6,0.029831251941154456,0.003086649028396507,11
SP500_lag6,0.013478657458210513,0.004120523970840526,11
TB3MS_lag6,0.0022344105839731316,0.000295007081558994,11
OILPRICEX_lag6,0.001907447166314407,0.0021708239561526663,11
