feature,ratio_mean,ratio_std
BUSLOANS_lag12,0.9934843135255488,0.0019098651576640838
CPIAUCSL_lag12,1.001423946979648,0.001539148666469469
DPCERA3M086SBEA_lag12,0.976889250778977,0.005989072221237582
INDPRO_lag12,1.010355216410556,0.008074585257933337
M2SL_lag12,0.9985638068139486,0.00040106030787877826
OILPRICEX_lag12,1.0025586796974881,0.0011937887940275738
RPI_lag12,0.958495047681864,0.00768694275332975
SP500_lag12,0.9678877117487898,0.019656649947159613
TB3MS_lag12,1.0211600590471344,0.007920810819105655
UNRATE_lag12,1.0062126156569224,0.007636249552067999
USREC_lag12,0.9830609675787093,0.03321939913439066
