feature,shap_share_mean,shap_share_std
BUSLOANS_lag12,0.06881320214111677,0.01826163080770745
CPIAUCSL_lag12,0.08825637397778398,0.03815749234833011
DPCERA3M086SBEA_lag12,0.361466119470453,0.0809465567577386
INDPRO_lag12,0.12384224558717416,0.037948592117324174
M2SL_lag12,0.029144041871477,0.02502114699673843
OILPRICEX_lag12,0.0030250160877457405,0.0010067625014747133
RPI_lag12,0.21581826096925663,0.09857035849229231
SP500_lag12,0.07928541531102486,0.012296679764844207
TB3MS_lag12,0.003910389342227781,0.00032972830803814626
UNRATE_lag12,0.0026458003676610954,0.0007747409090093055
USREC_lag12,0.023793134874079004,0.0044794606622716214
