feature,shap_share_mean,shap_share_std,n_windows
UNRATE_lag1,0.678600171436735,0.031040208297472782,4
INDPRO_lag1,0.14724887693064748,0.049760525521950844,4
USREC_lag1,0.05910846945092624,0.027256816214267683,4
TB3MS_lag1,0.056965708684540525,0.014998730432615317,4
RPI_lag1,0.03009647284791339,0.023312657295497297,4
SP500_lag1,0.008333333333333333,0.014433756729740645,4
CPIAUCSL_lag1,0.0051548089591567856,0.006839450986729264,4
M2SL_lag1,0.004166666666666667,0.007216878364870323,4
BUSLOANS_lag1,0.004166666666666667,0.007216878364870323,4
OILPRICEX_lag1,0.0030873493975903613,0.003444064145374507,4
DPCERA3M086SBEA_lag1,0.003071475625823452,0.003439890892443255,4
