feature,ratio_mean,ratio_std,n_windows
TB3MS_lag12,1.0271031710043432,0.0041820530556957395,3
OILPRICEX_lag12,1.0070347432227744,0.0015696358295899514,3
BUSLOANS_lag12,1.0014003749146954,0.0009108129124450866,3
INDPRO_lag12,1.0012733144961368,0.011464791624877246,3
M2SL_lag12,0.9999381642070739,0.000752919629789544,3
CPIAUCSL_lag12,0.9988416898053112,0.0012800070006428214,3
DPCERA3M086SBEA_lag12,0.9835681527773036,0.026649994036433377,3
RPI_lag12,0.9693115167682874,0.023527335419130057,3
SP500_lag12,0.9333388758719204,0.03547675372255214,3
USREC_lag12,0.9032242144984725,0.06948346983611088,3
