feature,ratio_mean,ratio_std,n_windows
TB3MS_lag6,1.0338181608216337,0.006153246507916251,3
CPIAUCSL_lag6,1.0039844072021336,0.003402254660161396,3
BUSLOANS_lag6,1.0039599350963175,0.006981248378166915,3
SP500_lag6,0.9975644865316813,0.005183983213328224,3
OILPRICEX_lag6,0.9941406348043854,0.00097995373940206,3
M2SL_lag6,0.9916125596970357,0.007487747779925783,3
DPCERA3M086SBEA_lag6,0.9911674832503059,0.012719388336685379,3
RPI_lag6,0.9868895547598854,0.01361566535808978,3
INDPRO_lag6,0.9684867614158557,0.03681425443681416,3
USREC_lag6,0.9416366984316603,0.15368939906205492,3
