feature,ratio_mean,ratio_std,n_windows
TB3MS_lag24,1.0493610582880981,0.057226938498124394,3
USREC_lag24,1.0088652965002476,0.01234925210114715,3
SP500_lag24,1.0033112404862399,0.004541180149388662,3
OILPRICEX_lag24,1.0013569893114818,0.001938494971833335,3
INDPRO_lag24,1.0003409671404835,0.0004822946421333444,3
DPCERA3M086SBEA_lag24,1.0002901287182746,0.00041818343961000235,3
RPI_lag24,0.9994247188897454,0.000817834695473373,3
M2SL_lag24,0.9989368125924063,0.0015028861849330367,3
BUSLOANS_lag24,0.9945540804596105,0.0077036650487701825,3
CPIAUCSL_lag24,0.9936390459213378,0.008995578983838034,3
