feature,shap_share_mean,shap_share_std
BUSLOANS_lag12,0.06327676877413348,0.019246170876961902
CPIAUCSL_lag12,0.07637736663450125,0.03858762815038656
DPCERA3M086SBEA_lag12,0.4077002536884554,0.06900918314384938
INDPRO_lag12,0.11137281768406906,0.040636044713060024
M2SL_lag12,0.02790068436715316,0.022621172781274946
OILPRICEX_lag12,0.0035603566461203696,0.000905924144099739
RPI_lag12,0.18794634513731764,0.09593582201314774
SP500_lag12,0.09558096494085322,0.009065944557364456
TB3MS_lag12,0.004192482404803762,0.0003336013308185161
USREC_lag12,0.022091959722592612,0.004544928444541661
