feature,ratio_mean,ratio_std
BUSLOANS_lag12,1.0096344875929515,0.008908177522183574
CPIAUCSL_lag12,1.0081678267868797,0.011500927365219437
DPCERA3M086SBEA_lag12,0.9877129647156989,0.015256609298317143
INDPRO_lag12,1.0145205908691568,0.015436471333240751
M2SL_lag12,0.9958984740953314,0.004402597668935758
OILPRICEX_lag12,0.9992600623681308,0.004968043840561865
RPI_lag12,0.9933013151471175,0.006582337914493633
SP500_lag12,0.9777276047772253,0.015431418139375685
TB3MS_lag12,1.0031912931716331,0.005451525017338558
USREC_lag12,0.9920621123227594,0.027169586297543343
