feature,ratio_mean,ratio_std,n_windows
TB3MS_lag6,1.0097764884533955,0.005096753796214766,3
OILPRICEX_lag6,1.0031169509924396,0.0016258906007148308,3
M2SL_lag6,1.000275898817493,0.000265579204598592,3
CPIAUCSL_lag6,1.0001084431844571,7.185183938093398e-05,3
RPI_lag6,0.9996177691924162,0.0002573645013172636,3
DPCERA3M086SBEA_lag6,0.9993393601666064,0.00036261956904656514,3
BUSLOANS_lag6,0.9992424580927454,0.0006540709250005841,3
INDPRO_lag6,0.9973656670451936,0.001681686428957575,3
SP500_lag6,0.9944640909509889,0.00217800475726993,3
USREC_lag6,0.9839345022614943,0.10507412387732808,3
UNRATE_lag6,0.9213954288653413,0.047036257293700603,3
