feature,ratio_mean,ratio_std,n_windows
USREC_lag12,1.0251120164013234,0.017182819486966205,2
TB3MS_lag12,1.0164634625714817,0.011941144400637427,2
UNRATE_lag12,1.0007565649590937,0.030635289554102496,2
OILPRICEX_lag12,1.00056894504491,0.0005062723008031345,2
BUSLOANS_lag12,1.0002105073365646,0.00020466068791891168,2
CPIAUCSL_lag12,0.9999982477412821,1.5801445264473912e-06,2
M2SL_lag12,0.999996112254913,3.785379586174198e-06,2
INDPRO_lag12,0.9997280712054528,0.00027580478612154735,2
DPCERA3M086SBEA_lag12,0.9996465605425364,0.0003434542823358977,2
RPI_lag12,0.9995569050266591,0.0004314102345241988,2
SP500_lag12,0.9826642661868839,0.016187256218587243,2
