feature,ratio_mean,ratio_std,n_windows
USREC_lag1,1.0218708009932256,0.06615592201502145,3
OILPRICEX_lag1,1.013103084749111,0.009265914716398248,3
DPCERA3M086SBEA_lag1,1.0084707468153538,0.007105117228103408,3
CPIAUCSL_lag1,1.0064575887254685,0.0059790222563727265,3
M2SL_lag1,1.001689104333084,0.013774975480702141,3
RPI_lag1,0.9979596727152913,0.003280272672282857,3
BUSLOANS_lag1,0.9976724175283312,0.0050861116112349974,3
TB3MS_lag1,0.9974399139664656,0.01250759277889024,3
SP500_lag1,0.984113582112597,0.015436680885217267,3
INDPRO_lag1,0.9341918763931817,0.05052786421114045,3
