feature,ratio_mean,ratio_std,n_windows
UNRATE_lag36,1.0474002684355168,0.06309930474033329,3
INDPRO_lag36,1.0272365544494801,0.03851801036842145,3
CPIAUCSL_lag36,1.004901491434472,0.0069317574565576625,3
USREC_lag36,1.002884886634235,0.0038381929212694967,3
SP500_lag36,1.0024738566694193,0.003496376581336031,3
OILPRICEX_lag36,1.0020551113478913,0.0029019320183145602,3
TB3MS_lag36,1.0018434707014352,0.0018923076650220181,3
BUSLOANS_lag36,0.9998626383596028,0.0001943054938519668,3
RPI_lag36,0.9991640369952055,0.0011824156692397615,3
M2SL_lag36,0.9977751329430588,0.0031464379294018473,3
DPCERA3M086SBEA_lag36,0.9973787477261379,0.003707114615839625,3
