feature,shap_share_mean,shap_share_std
BUSLOANS_lag12,0.08090126015230403,0.05390705819177443
CPIAUCSL_lag12,0.07430862974289303,0.11404121107805906
DPCERA3M086SBEA_lag12,0.12396630948929471,0.0375291905685195
INDPRO_lag12,0.19006178276309757,0.02950181405719677
M2SL_lag12,0.035530988790611256,0.02920278906145103
OILPRICEX_lag12,0.0450600356145468,0.04297417159976427
RPI_lag12,0.05003876710033111,0.027225224541354186
SP500_lag12,0.19946554233331834,0.061970371269504596
TB3MS_lag12,0.1310573554378573,0.05743894270815068
USREC_lag12,0.06960932857574585,0.06830940956973636
