feature,ratio_mean,ratio_std,n_windows
USREC_lag6,1.0669587228040234,0.1383648227422075,3
TB3MS_lag6,1.003267620111403,0.007748131640688789,3
BUSLOANS_lag6,1.0018016137164618,0.0031845278143010154,3
CPIAUCSL_lag6,1.0001392754703902,0.00012984038935151613,3
SP500_lag6,0.9996657506812715,0.00047047261527975,3
DPCERA3M086SBEA_lag6,0.9995421265509704,0.00043799135634704116,3
M2SL_lag6,0.9995195367155126,0.000320580586528777,3
RPI_lag6,0.9987240482452263,0.001452893168545324,3
INDPRO_lag6,0.995739696620943,0.0037145921245045474,3
OILPRICEX_lag6,0.9943062874578456,0.0025856656050093412,3
