unique_id,model_label,model_name,partition,mae,coverage,width,n,perm_mae_top1_feature,perm_mae_top1,perm_dev_top1_feature,perm_dev_top1,shap_share_top1_feature,shap_share_top1
UNRATE,LGBM,LGBM,1990-1999,0.4303219261834335,0.8,1.5037374592649841,120,INDPRO_lag12,1.0613214625939442,INDPRO_lag12,1.1003151109410723,UNRATE_lag12,0.2584384109551895
UNRATE,RIDGE,RIDGE,1990-1999,0.50438061580089,0.7916666666666666,1.7188873357755914,120,UNRATE_lag12,1.0353002151567126,UNRATE_lag12,1.0693753679683955,SP500_lag12,0.27562577611202366
UNRATE,LGBM,LGBM,2000-2008,0.4777523487979235,0.6666666666666666,1.2695181775833733,108,BUSLOANS_lag12,1.0211500148787827,M2SL_lag12,1.0053521094733258,UNRATE_lag12,0.2128969560413944
UNRATE,LR,LR,2000-2008,0.5284200937783796,0.6203703703703703,1.3389775174331808,108,TB3MS_lag12,1.06545039994313,TB3MS_lag12,1.1268312153251563,DPCERA3M086SBEA_lag12,0.3562961177928919
UNRATE,RIDGE,RIDGE,2009-2019,0.651121542329335,0.803030303030303,2.3399137675160664,132,USREC_lag12,1.1490358101294689,USREC_lag12,1.2077005787905755,SP500_lag12,0.28909649439901086
UNRATE,LGBM,LGBM,2009-2019,0.6611233021900143,0.803030303030303,2.3032132956633653,132,USREC_lag12,1.030631480404395,CPIAUCSL_lag12,0.999588844551767,UNRATE_lag12,0.20790220419903752
UNRATE,LGBM,LGBM,2020-end,1.715946670329524,0.7647058823529411,6.42746359718089,68,M2SL_lag12,1.0106803166329759,USREC_lag12,1.0029629189656613,UNRATE_lag12,0.21446590940467328
UNRATE,RIDGE,RIDGE,2020-end,2.0132650566704626,0.7941176470588235,6.866681284795478,68,USREC_lag12,1.0188496248523633,USREC_lag12,1.0389169369543814,SP500_lag12,0.2853924240201252
UNRATE,LGBM,LGBM,ALL,0.7177302202889656,0.7616822429906542,2.473476957772587,428,USREC_lag12,1.0336738179032812,CPIAUCSL_lag12,1.0298202035199675,UNRATE_lag12,0.22437442374038333
UNRATE,RIDGE,RIDGE,ALL,0.8108302552485268,0.7523364485981309,2.6478402520562887,428,USREC_lag12,1.0651930491056052,USREC_lag12,1.1025385287790912,SP500_lag12,0.297750938667122
