feature,ratio_mean,ratio_std,n_windows
UNRATE_lag1,1.0975768584860175,0.25329189366090266,3
TB3MS_lag1,1.011364531653926,0.0004996281488881662,3
CPIAUCSL_lag1,1.0092016705259004,0.0052966814403554085,3
USREC_lag1,1.0083883467990447,0.009348441782442757,3
BUSLOANS_lag1,1.0018636976560928,0.001309286828475429,3
RPI_lag1,1.0016338999074816,0.0019313878568730457,3
SP500_lag1,1.0015220426710523,0.00130355126115982,3
M2SL_lag1,1.0000275328208177,0.0006923387023909256,3
DPCERA3M086SBEA_lag1,0.9987820291581301,0.002580083036805131,3
OILPRICEX_lag1,0.9943351252276766,0.0027188887104515553,3
INDPRO_lag1,0.9849948870775685,0.00469614728298297,3
