feature,ratio_mean,ratio_std,n_windows
INDPRO_lag12,1.0123118087291834,0.011719287937985053,3
BUSLOANS_lag12,1.0084722610456571,0.013479402124673525,3
TB3MS_lag12,1.003566386002553,0.0032594734891621168,3
RPI_lag12,1.0010870204744158,0.00415620841457403,3
USREC_lag12,1.0003327061724865,0.004106595351244499,3
CPIAUCSL_lag12,0.9983645359263211,0.004985618162811932,3
M2SL_lag12,0.9855515712108365,0.008558473484611834,3
OILPRICEX_lag12,0.984828389215906,0.0057948179600290734,3
DPCERA3M086SBEA_lag12,0.975393916596206,0.02253964144870518,3
SP500_lag12,0.9700279794663512,0.011566707372523799,3
