feature,ratio_mean,ratio_std,n_windows
INDPRO_lag1,1.0036917922476034,0.0029135685246455267,2
OILPRICEX_lag1,1.0001319436920002,0.00013194369200031364,2
USREC_lag1,1.0000238243337942,0.00012425974127078243,2
BUSLOANS_lag1,1.0,0.0,2
CPIAUCSL_lag1,0.9999467946118916,5.320538810843489e-05,2
DPCERA3M086SBEA_lag1,0.9992840094983543,0.0007159905016457246,2
SP500_lag1,0.9988078460149845,0.0011921539850154317,2
M2SL_lag1,0.998627039262271,0.0013729607377289677,2
TB3MS_lag1,0.9910050614549726,0.0032214102911502507,2
RPI_lag1,0.9856869392848955,0.0016638574491079083,2
UNRATE_lag1,0.939902282722878,0.07290851871772203,2
