feature,shap_share_mean,shap_share_std
BUSLOANS_lag24,0.11116270459631841,0.0571608770019471
CPIAUCSL_lag24,0.08898430381529322,0.055676810568461
DPCERA3M086SBEA_lag24,0.08368999332040977,0.038736920797739376
INDPRO_lag24,0.10252270724534521,0.04529463852893832
M2SL_lag24,0.048866441157157575,0.04497817114864203
OILPRICEX_lag24,0.07510146495701837,0.03833853025269325
RPI_lag24,0.08879186461785935,0.03914601193431095
SP500_lag24,0.06279443016586017,0.03200769326609053
TB3MS_lag24,0.2795829989485939,0.2026620695106277
USREC_lag24,0.0585030911761436,0.0535125033024075
