feature,ratio_mean,ratio_std,n_windows
CPIAUCSL_lag24,1.0641821840438748,0.0297229847113069,3
INDPRO_lag24,1.0117254071382975,0.0101627742635309,3
USREC_lag24,1.0083590413952743,0.0096507508553685,3
TB3MS_lag24,1.0074220897080968,0.0046748613526842,3
RPI_lag24,1.005248573544149,0.008413442635385,3
OILPRICEX_lag24,1.0043141338292665,0.0109486381920058,3
DPCERA3M086SBEA_lag24,1.0008551426326584,0.0015170400891879,3
SP500_lag24,1.000392507531581,0.0049031399843346,3
M2SL_lag24,0.9962888803846548,0.0094257514094341,3
BUSLOANS_lag24,0.990325635683746,0.0128839879480661,3
