model,1990-1999,2000-2008,2008-2019,2020-fin,Ensemble
Autoregressive_1,0.5078,0.5356 (0.341),0.8686 (0.523),2.0848 (0.455),0.8670 (0.369)
Linear Regression,0.5097 (0.976),0.4673,0.7976,1.8895,0.8120
