feature,shap_share_mean,shap_share_std
BUSLOANS_lag24,0.015180367111732675,0.02389470949831855
CPIAUCSL_lag24,0.022736714127483328,0.0479422455286828
DPCERA3M086SBEA_lag24,0.06334363000759523,0.13415641615666907
INDPRO_lag24,0.0182706896203765,0.032205051970995276
M2SL_lag24,0.00523083805769705,0.00804298950273615
OILPRICEX_lag24,0.00377556751591185,0.002962118387895475
RPI_lag24,0.048827257262329025,0.10102139294622672
SP500_lag24,0.01128711682976295,0.010124828658483475
TB3MS_lag24,0.5910857689015754,0.265048818683144
USREC_lag24,0.22026205056553558,0.1169244358925327
