feature,ratio_mean,ratio_std
BUSLOANS_lag24,0.9985676866891042,0.001925919408335209
CPIAUCSL_lag24,0.9983826395481495,0.002248904765559744
DPCERA3M086SBEA_lag24,0.9998206866789159,0.00010454945699307841
INDPRO_lag24,1.0001352364793141,0.00012065603444035681
M2SL_lag24,0.9997541230938487,0.00037572980755424146
OILPRICEX_lag24,1.0004869635339197,0.00048535836387307644
RPI_lag24,0.9988555825207766,0.00020447689965993367
SP500_lag24,1.0006331011870033,0.0011355143251107398
TB3MS_lag24,1.016233073675572,0.014818224244540499
USREC_lag24,1.0024913930084207,0.003199220618967125
