date,model,feature,shap_value,y_true
1990-01-01,LINREG,BUSLOANS,0.004462109180333247,1.0
1990-01-01,LINREG,CPIAUCSL,-0.003987117964662105,1.0
1990-01-01,LINREG,DPCERA3M086SBEA,-0.11097872884243368,1.0
1990-01-01,LINREG,INDPRO,0.00435447917862363,1.0
1990-01-01,LINREG,M2SL,-0.010144228133070999,1.0
1990-01-01,LINREG,OILPRICEX,-0.019852564269487716,1.0
1990-01-01,LINREG,RPI,0.028428663454652964,1.0
1990-01-01,LINREG,SP500,0.18072445281775185,1.0
1990-01-01,LINREG,TB3MS,-0.0070050410188480915,1.0
1990-01-01,LINREG,UNRATE_lag12,-0.06817474940260435,1.0
1990-01-01,LINREG,USREC,0.038513824917307905,1.0
1990-02-01,LINREG,BUSLOANS,0.00518978397856806,1.3
1990-02-01,LINREG,CPIAUCSL,0.0004776219275990277,1.3
1990-02-01,LINREG,DPCERA3M086SBEA,-0.010253213384873982,1.3
1990-02-01,LINREG,INDPRO,-0.03267175712564293,1.3
1990-02-01,LINREG,M2SL,-0.01337538839488361,1.3
1990-02-01,LINREG,OILPRICEX,-0.008774659491885535,1.3
1990-02-01,LINREG,RPI,0.009074143314339754,1.3
1990-02-01,LINREG,SP500,0.2152604774500446,1.3
1990-02-01,LINREG,TB3MS,0.0037305992228969264,1.3
1990-02-01,LINREG,UNRATE_lag12,-0.12578014424739967,1.3
1990-02-01,LINREG,USREC,0.03857983272199075,1.3
1990-03-01,LINREG,BUSLOANS,0.0005655939466464416,1.6
1990-03-01,LINREG,CPIAUCSL,0.004624663747821989,1.6
1990-03-01,LINREG,DPCERA3M086SBEA,0.07821124257405206,1.6
1990-03-01,LINREG,INDPRO,-0.029863150542547925,1.6
1990-03-01,LINREG,M2SL,-0.02014582411413674,1.6
1990-03-01,LINREG,OILPRICEX,0.02292769538525071,1.6
1990-03-01,LINREG,RPI,0.007758555495420025,1.6
1990-03-01,LINREG,SP500,0.21814502922442297,1.6
1990-03-01,LINREG,TB3MS,0.05039578353424385,1.6
1990-03-01,LINREG,UNRATE_lag12,-0.18146914021815702,1.6
1990-03-01,LINREG,USREC,0.03880317651575922,1.6
1990-04-01,LINREG,BUSLOANS,-0.0024168145117052326,1.3
1990-04-01,LINREG,CPIAUCSL,-0.00046816160028471834,1.3
1990-04-01,LINREG,DPCERA3M086SBEA,0.13895484644932463,1.3
1990-04-01,LINREG,INDPRO,-0.046202100761098416,1.3
1990-04-01,LINREG,M2SL,-0.01366154985541866,1.3
1990-04-01,LINREG,OILPRICEX,0.08095912214250385,1.3
1990-04-01,LINREG,RPI,-0.028724044349024407,1.3
1990-04-01,LINREG,SP500,0.10875732738546458,1.3
1990-04-01,LINREG,TB3MS,0.020404783770455157,1.3
1990-04-01,LINREG,UNRATE_lag12,-0.03616551691511451,1.3
1990-04-01,LINREG,USREC,0.03883353514888026,1.3
1990-05-01,LINREG,BUSLOANS,0.0009730983300447671,1.5
1990-05-01,LINREG,CPIAUCSL,0.009797315235968444,1.5
1990-05-01,LINREG,DPCERA3M086SBEA,0.058011805604792514,1.5
1990-05-01,LINREG,INDPRO,-0.006148971428255236,1.5
1990-05-01,LINREG,M2SL,-0.011045280384179018,1.5
1990-05-01,LINREG,OILPRICEX,0.08912378208781942,1.5
1990-05-01,LINREG,RPI,0.01159738749821231,1.5
1990-05-01,LINREG,SP500,-0.17581327332262361,1.5
1990-05-01,LINREG,TB3MS,-0.007035454699345658,1.5
1990-05-01,LINREG,UNRATE_lag12,-0.09163247548629781,1.5
1990-05-01,LINREG,USREC,0.039084919493512685,1.5
1990-06-01,LINREG,BUSLOANS,0.0012925442099530158,1.7
1990-06-01,LINREG,CPIAUCSL,0.02220823638599926,1.7
1990-06-01,LINREG,DPCERA3M086SBEA,0.06379840613554691,1.7
1990-06-01,LINREG,INDPRO,0.004559927976531942,1.7
1990-06-01,LINREG,M2SL,-0.0025907162719084097,1.7
1990-06-01,LINREG,OILPRICEX,0.04869130782582054,1.7
1990-06-01,LINREG,RPI,0.00484275024766605,1.7
1990-06-01,LINREG,SP500,-0.19349658685112842,1.7
1990-06-01,LINREG,TB3MS,-0.04251150657979056,1.7
1990-06-01,LINREG,UNRATE_lag12,-0.006937574699557781,1.7
1990-06-01,LINREG,USREC,0.03896406776375781,1.7
1990-07-01,LINREG,BUSLOANS,-0.002027585164640625,1.3
1990-07-01,LINREG,CPIAUCSL,-0.00421323285765409,1.3
1990-07-01,LINREG,DPCERA3M086SBEA,0.06158672982709643,1.3
1990-07-01,LINREG,INDPRO,-0.0014525383131492049,1.3
1990-07-01,LINREG,M2SL,-0.00038199952840602884,1.3
1990-07-01,LINREG,OILPRICEX,-0.057249349053479254,1.3
1990-07-01,LINREG,RPI,0.03636445798744914,1.3
1990-07-01,LINREG,SP500,-0.19000783114765563,1.3
1990-07-01,LINREG,TB3MS,-0.03806244401782001,1.3
1990-07-01,LINREG,UNRATE_lag12,-0.03401180829051312,1.3
1990-07-01,LINREG,USREC,0.03872555601437626,1.3
1990-08-01,LINREG,BUSLOANS,-0.0008523594585882953,1.2
1990-08-01,LINREG,CPIAUCSL,-0.03075761019589105,1.2
